任务类别,原始类别,论文题目,作者,日期,发表/场所,模型架构(推断),方法要点(推断),链接,效果摘要
文生图,Text-to-Image,Chest-Diffusion: A Light-Weight Text-to-Image Model for Report-to-CXR Generation,"Peng Huang, Xue Gao, Lihong Huang, Jing Jiao, Xiaokang Li, Yuanyuan Wang, Yi Guo","30 Jun., 2024","ISBI, 2024",扩散ODE,文本生成图像,Paper:https://arxiv.org/abs/2407.00752,（README未提供，详见论文）
文生图,Text-to-Image,Fair Text to Medical Image Diffusion Model with Subgroup Distribution Aligned Tuning,"Xu Han, Fangfang Fan, Jingzhao Rong, Xiaofeng Liu","20th Jun., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2406.14847,（README未提供，详见论文）
文生图,Text-to-Image,Advancing Text-Driven Chest X-Ray Generation with Policy-Based Reinforcement Learning,"Woojung Han, Chanyoung Kim, Dayun Ju, Yumin Shim, Seong Jae Hwang","11th Mar., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2403.06516,（README未提供，详见论文）
文生图,Text-to-Image,Synthesizing CTA Image Data for Type-B Aortic Dissection using Stable Diffusion Models,"Ayman Abaid, Muhammad Ali Farooq, Niamh Hynes, Peter Corcoran, Ihsan Ullah","10th Feb., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2402.06969,（README未提供，详见论文）
文生图,Text-to-Image,Navigating the Synthetic Realm: Harnessing Diffusion-based Models for Laparoscopic Text-to-Image Generation,"Simeon Allmendinger, Patrick Hemmer, Moritz Queisner, Igor Sauer, Leopold Müller, Johannes Jakubik, Michael Vössing, Niklas Kühl","5th Dec., 2023","arXiv, 2023",扩散ODE,文本生成图像,Paper:https://arxiv.org/abs/2312.03043 | Github:https://github.com/SimeonAllmendinger/SyntheticImageGeneration,（README未提供，详见论文）
文生图,Text-to-Image,MedXChat: Bridging CXR Modalities with a Unified Multimodal Large Model,"Ling Yang, Zhanyu Wang, Luping Zhou","4th Dec., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2312.02233,（README未提供，详见论文）
文生图,Text-to-Image,BiomedJourney: Counterfactual Biomedical Image Generation by Instruction-Learning from Multimodal Patient Journeys,"Yu Gu, Jianwei Yang, Naoto Usuyama, Chunyuan Li, Sheng Zhang, Matthew P. Lungren, Jianfeng Gao, Hoifung Poon","16th Oct., 2023","arXiv, 2023",通用/未明确,伪健康/反事实重建以显著化异常,Paper:https://arxiv.org/abs/2310.10765,（README未提供，详见论文）
文生图,Text-to-Image,MedSyn: Text-guided Anatomy-aware Synthesis of High-Fidelity 3D CT Images,"Yanwu Xu, Li Sun, Wei Peng, Shyam Visweswaran, Kayhan Batmanghelich","5th Oct., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2310.03559 | Github:https://github.com/batmanlab/MedSyn,（README未提供，详见论文）
文生图,Text-to-Image,Boosting Dermatoscopic Lesion Segmentation via Diffusion Models with Visual and Textual Prompts,"Shiyi Du, Xiaosong Wang, Yongyi Lu, Yuyin Zhou, Shaoting Zhang, Alan Yuille, Kang Li, Zongwei Zhou","4th Oct., 2023","arXiv, 2023",扩散ODE,分割,Paper:https://arxiv.org/abs/2310.02906,（README未提供，详见论文）
文生图,Text-to-Image,TauPETGen: Text-Conditional Tau PET Image Synthesis Based on Latent Diffusion Models,"Se-In Jang, Cristina Lois, Emma Thibault, J. Alex Becker, Yafei Dong, Marc D. Normandin, Julie C. Price, Keith A. Johnson, Georges El Fakhri, Kuang Gong","21st Jun., 2023","arXiv, 2023","潜空间/Latent Diffusion, 条件扩散, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2306.11984,（README未提供，详见论文）
文生图,Text-to-Image,Pay Attention: Accuracy Versus Interpretability Trade-off in Fine-tuned Diffusion Models,"Mischa Dombrowski, Hadrien Reynaud, Johanna P. Müller, Matthew Baugh, Bernhard Kainz","31st Mar., 2023","arXiv, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2303.17908 | Github:https://github.com/MischaD/chest-distillation,（README未提供，详见论文）
文生图,Text-to-Image,Medical diffusion on a budget: textual inversion for medical image generation,"Bram de Wilde, Anindo Saha, Richard P.G. ten Broek, Henkjan Huisman","23rd Mar., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2303.13430,（README未提供，详见论文）
文生图,Text-to-Image,Diffusion-based Data Augmentation for Skin Disease Classification: Impact Across Original Medical Datasets to Fully Synthetic Images,"Mohamed Akrout, Bálint Gyepesi, Péter Holló, Adrienn Poór, Blága Kincső, Stephen Solis, Katrina Cirone, Jeremy Kawahara, Dekker Slade, Latif Abid, Máté Kovács, István Fazekas","12th Jan., 2023","arXiv, 2023",通用/未明确,分类,Paper:https://arxiv.org/abs/2301.04802,（README未提供，详见论文）
文生图,Text-to-Image,RoentGen: Vision-Language Foundation Model for Chest X-ray Generation,"Pierre Chambon, Christian Bluethgen, Jean-Benoit Delbrouck, Rogier Van der Sluijs, Małgorzata Połacin, Juan Manuel Zambrano Chaves, Tanishq Mathew Abraham, Shivanshu Purohit, Curtis P. Langlotz, Akshay Chaudhari","23rd Nov., 2022","arXiv, 2022",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2211.12737,（README未提供，详见论文）
文生图,Text-to-Image,Adapting Pretrained Vision-Language Foundational Models to Medical Imaging Domains,"Pierre Chambon, Christian Bluethgen, Curtis P. Langlotz, Akshay Chaudhari","9th Oct., 2022","arXiv, 2022",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2210.04133,（README未提供，详见论文）
配准,Registration,DiffuseReg: Denoising Diffusion Model for Obtaining Deformation Fields in Unsupervised Deformable Image Registration,"Yongtai Zhuo, Yiqing Shen","07th Oct., 2024","MICCAI, 2024","DDPM类, 扩散ODE",配准,Paper:http://arxiv.org/abs/2410.05234v1,（README未提供，详见论文）
配准,Registration,Learning Diffeomorphism for Image Registration with Time-Continuous Networks using Semigroup Regularization,"Mohammadjavad Matinkia, Nilanjan Ray","28th May, 2024","arXiv, 2024",通用/未明确,配准,Paper:https://arxiv.org/abs/2405.18684 | GitHub:https://github.com/mattkia/SGDIR,（README未提供，详见论文）
配准,Registration,FSDiffReg: Feature-wise and Score-wise Diffusion-guided Unsupervised Deformable Image Registration for Cardiac Images,"Yi Qin, Xiaomeng Li","22nd Jul., 2023","arXiv, 2023",Score-based,配准,Paper:https://arxiv.org/abs/2307.12035 | Github:https://github.com/xmed-lab/FSDiffReg.git,（README未提供，详见论文）
配准,Registration,DiffuseMorph: Unsupervised Deformable Image Registration Along Continuous Trajectory Using Diffusion Models,"Boah Kim, Inhwa Han, Jong Chul Ye","9th Dec., 2021","ECCV, 2022",扩散ODE,配准,Paper:https://arxiv.org/abs/2112.05149,（README未提供，详见论文）
分类,Classification,DAug: Diffusion-based Channel Augmentation for Radiology Image Retrieval and Classification,"Ying Jin, Zhuoran Zhou, Haoquan Fang, Jenq-Neng Hwang","06th Dec., 2024","NeurIPS Workshop, 2024",通用/未明确,分类,Paper:http://arxiv.org/abs/2412.04828v1,（README未提供，详见论文）
分类,Classification,Ctrl-GenAug: Controllable Generative Augmentation for Medical Sequence Classification,"Xinrui Zhou, Yuhao Huang, Haoran Dou, Shijing Chen, Ao Chang, Jia Liu, Weiran Long, Jian Zheng, Erjiao Xu, Jie Ren, Ruobing Huang, Jun Cheng, Wufeng Xue, Dong Ni","25th Sep., 2024","arXiv, 2024",通用/未明确,分类,Paper:https://arxiv.org/abs/2409.17091,（README未提供，详见论文）
分类,Classification,Anisotropic Diffusion Probabilistic Model for Imbalanced Image Classification,"Jingyu Kong, Yuan Guo, Yu Wang, Yuping Duan","22nd Sep., 2024","arXiv, 2024","DDPM类, 扩散ODE",分类,Paper:https://arxiv.org/abs/2409.14313,（README未提供，详见论文）
分类,Classification,Deep Generative Classification of Blood Cell Morphology,"Simon Deltadahl, Julian Gilbey, Christine Van Laer, Nancy Boeckx, Mathie Leers, Tanya Freeman, Laura Aiken, Timothy Farren, Matthew Smith, Mohamad Zeina, BloodCounts! consortium, Concetta Piazzese, Joseph Taylor, Nicholas Gleadall, Carola-Bibiane Schönlieb, Suthesh Sivapalaratnam, Michael Roberts, Parashkev Nachev","16th Aug., 2024","arXiv, 2024",通用/未明确,分类,Paper:https://arxiv.org/abs/2408.08982 | GitHub:https://github.com/Deltadahl/CytoDiffusion,（README未提供，详见论文）
分类,Classification,Counterfactual Explanations for Medical Image Classification and Regression using Diffusion Autoencoder,"Matan Atad, David Schinz, Hendrik Moeller, Robert Graf, Benedikt Wiestler, Daniel Rueckert, Nassir Navab, Jan S. Kirschke, Matthias Keicher","2nd Aug., 2024","arXiv, 2024",扩散ODE,伪健康/反事实重建以显著化异常,Paper:https://arxiv.org/abs/2408.01571 | GitHub:https://github.com/matanat/dae_counterfactual,（README未提供，详见论文）
分类,Classification,Diff3Dformer: Leveraging Slice Sequence Diffusion for Enhanced 3D CT Classification with Transformer Networks,"Zihao Jin, Yingying Fang, Jiahao Huang, Caiwen Xu, Simon Walsh, Guang Yang","24th Jun., 2024","arXiv, 2024",通用/未明确,分类,Paper:https://arxiv.org/abs/2406.17173 | GitHub:https://github.com/ayanglab/Diff3Dformer,（README未提供，详见论文）
分类,Classification,Guided Conditional Diffusion Classifier (ConDiff) for Enhanced Prediction of Infection in Diabetic Foot Ulcers,"Palawat Busaranuvong, Emmanuel Agu, Deepak Kumar, Shefalika Gautam, Reza Saadati Fard, Bengisu Tulu, Diane Strong","1st May, 2024","arXiv, 2024",条件扩散,未归纳,Paper:https://arxiv.org/abs/2405.00858,（README未提供，详见论文）
分类,Classification,Improving Robustness and Reliability in Medical Image Classification with Latent-Guided Diffusion and Nested-Ensembles,"Xing Shen, Hengguan Huang, Brennan Nichyporuk, Tal Arbel","10th Nov., 2023","arXiv, 2023",潜空间/Latent Diffusion,分类,Paper:https://arxiv.org/abs/2310.15952,（README未提供，详见论文）
分类,Classification,Improving Nonalcoholic Fatty Liver Disease Classification Performance With Latent Diffusion Models,"Romain Hardy, Cornelia Ilin, Joe Klepich, Ryan Mitchell, Steve Hall, Jericho Villareal","13th Jul., 2023","arXiv, 2023","潜空间/Latent Diffusion, 扩散ODE",分类,Paper:https://arxiv.org/abs/2307.06507,（README未提供，详见论文）
分类,Classification,Interpretable Alzheimer's Disease Classification Via a Contrastive Diffusion Autoencoder,"Ayodeji Ijishakin, Ahmed Abdulaal, Adamos Hadjivasiliou, Sophie Martin, James Cole","5th Jun., 2023","arXiv, 2023",扩散ODE,分类,Paper:https://arxiv.org/abs/2306.03022,（README未提供，详见论文）
分类,Classification,DiffMIC: Dual-Guidance Diffusion Network for Medical Image Classification,"Yijun Yang, Huazhu Fu, Angelica I. Aviles-Rivero, Carola-Bibiane Schönlieb, Lei Zhu","19th Mar., 2023","arXiv, 2023",通用/未明确,分类,Paper:https://arxiv.org/abs/2303.10610 | Github:https://github.com/scott-yjyang/DiffMIC,（README未提供，详见论文）
目标检测,Object Detection,LoGex: Improved tail detection of extremely rare histopathology classes via guided diffusion,"Maximilian Mueller, Matthias Hein","2nd Sep., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2409.01317 | GitHub:https://github.com/mueller-mp/logex,（README未提供，详见论文）
目标检测,Object Detection,Diffusion-Based Hierarchical Multi-Label Object Detection to Analyze Panoramic Dental X-rays,"Ibrahim Ethem Hamamci, Sezgin Er, Enis Simsar, Anjany Sekuboyina, Mustafa Gundogar, Bernd Stadlinger, Albert Mehl, Bjoern Menze","11th Mar., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2303.06500 | Github:https://github.com/ibrahimethemhamamci/HierarchicalDet,（README未提供，详见论文）
图像修复/补全,Inpainting,MaskMedPaint: Masked Medical Image Inpainting with Diffusion Models for Mitigation of Spurious Correlations,"Qixuan Jin, Walter Gerych, Marzyeh Ghassemi","16th Nov., 2024","ML4H, 2024","扩散ODE, 掩码/Masked机制",未归纳,Paper:http://arxiv.org/abs/2411.10686v1 | GitHub:https://github.com/QixuanJin99/generative_validation,（README未提供，详见论文）
图像修复/补全,Inpainting,Investigating the Role of Bilateral Symmetry for Inpainting Brain MRI,"Sergey Kuznetsov, Sanduni Pinnawala, Peter A. Wijeratne, Ivor J. A. Simpson","14th Apr., 2025","arXiv, 2025",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2504.10039v1,（README未提供，详见论文）
图像修复/补全,Inpainting,FCDM: Sparse-view Sinogram Inpainting with Frequency Domain Convolution Enhanced Diffusion Models,"Jiaze E, Srutarshi Banerjee, Tekin Bicer, Guannan Wang, Yanfu Zhang, Bin Ren","26th Aug., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2409.06714,（README未提供，详见论文）
图像修复/补全,Inpainting,Inpainting Pathology in Lumbar Spine MRI with Latent Diffusion,"Colin Hansen, Simas Glinskis, Ashwin Raju, Micha Kornreich, JinHyeong Park, Jayashri Pawar, Richard Herzog, Li Zhang, Benjamin Odry","4th Jun., 2024","arXiv, 2024",潜空间/Latent Diffusion,未归纳,Paper:https://arxiv.org/abs/2406.02477,（README未提供，详见论文）
图像修复/补全,Inpainting,Multitask Brain Tumor Inpainting with Diffusion Models: A Methodological Report,"Pouria Rouzrokh, Bardia Khosravi, Shahriar Faghani, Mana Moassefi, Sanaz Vahdati, Bradley J. Erickson","21st Oct., 2022","arXiv, 2022",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2210.12113 | GitHub:https://github.com/Mayo-Radiology-Informatics-Lab/MBTI | Online Tool:https://1f1f559d51c361e2.gradio.app/,（README未提供，详见论文）
图像修复/补全,Inpainting,Quaternion Wavelet-Conditioned Diffusion Models for Image Super-Resolution,"Luigi Sigillo, Christian Bianchi, Aurelio Uncini, Danilo Comminiello","1st May, 2025","arXiv, 2025","条件扩散, 扩散ODE",超分,Paper:http://arxiv.org/abs/2505.00334v2,（README未提供，详见论文）
图像修复/补全,Inpainting,MRI super-resolution reconstruction using efficient diffusion probabilistic model with residual shifting,"Mojtaba Safari, Shansong Wang, Zach Eidex, Qiang Li, Erik H. Middlebrooks, David S. Yu, Xiaofeng Yang","3rd Mar., 2025","arXiv, 2025","DDPM类, 扩散ODE",重建/复原驱动,Paper:http://arxiv.org/abs/2503.01576v2 | GitHub:https://github.com/mosaf/Res-SRDiff,（README未提供，详见论文）
图像修复/补全,Inpainting,Temporal and Spatial Super Resolution with Latent Diffusion Model in Medical MRI images,Vishal Dubey,"29th Oct., 2024","arXiv, 2024","潜空间/Latent Diffusion, 扩散ODE",超分,Paper:http://arxiv.org/abs/2410.23898v1 | GitHub:https://github.com/vishal-dubey-0026/TemporalSpatialSR_LDM,（README未提供，详见论文）
图像修复/补全,Inpainting,Simultaneous Tri-Modal Medical Image Fusion and Super-Resolution using Conditional Diffusion Model,"Yushen Xu, Xiaosong Li, Yuchan Jie, Haishu Tan","26th Apr., 2024","arXiv, 2024","条件扩散, 扩散ODE",超分,Paper:https://arxiv.org/abs/2404.17357,（README未提供，详见论文）
图像修复/补全,Inpainting,Implicit Image-to-Image Schrodinger Bridge for CT Super-Resolution and Denoising,"Yuang Wang, Siyeop Yoon, Pengfei Jin, Matthew Tivnan, Zhennong Chen, Rui Hu, Li Zhang, Zhiqiang Chen, Quanzheng Li, Dufan Wu","10th Mar., 2024","arXiv, 2024",Schrödinger Bridge,超分,Paper:https://arxiv.org/abs/2403.06069,（README未提供，详见论文）
图像修复/补全,Inpainting,Cas-DiffCom: Cascaded diffusion model for infant longitudinal super-resolution 3D medical image completion,"Lianghu Guo, Tianli Tao, Xinyi Cai, Zihao Zhu, Jiawei Huang, Lixuan Zhu, Zhuoyang Gu, Haifeng Tang, Rui Zhou, Siyan Han, Yan Liang, Qing Yang, Dinggang Shen, Han Zhang","21st Feb., 2024","arXiv, 2024",扩散ODE,超分,Paper:https://arxiv.org/abs/2402.13776,（README未提供，详见论文）
图像修复/补全,Inpainting,Image Compression and Decompression Framework Based on Latent Diffusion Model for Breast Mammography,"InChan Hwang, MinJae Woo","8th Oct, 2023","arXiv, 2023","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2310.05299,（README未提供，详见论文）
图像修复/补全,Inpainting,InverseSR: 3D Brain MRI Super-Resolution Using a Latent Diffusion Model,"Jueqi Wang, Jacob Levman, Walter Hugo Lopez Pinaya, Petru-Daniel Tudosiu, M. Jorge Cardoso, Razvan Marinescu","23rd Aug, 2023","MICCAI, 2023","潜空间/Latent Diffusion, 扩散ODE",超分,Paper:https://arxiv.org/abs/2308.12465 | GitHub:https://github.com/BioMedAI-UCSC/InverseSR,（README未提供，详见论文）
图像修复/补全,Inpainting,Self-similarity-based super-resolution of photoacoustic angiography from hand-drawn doodles,"Yuanzheng Ma, Wangting Zhou, Rui Ma, Sihua Yang, Yansong Tang, Xun Guan","2nd May, 2023","arXiv, 2023",通用/未明确,超分,Paper:https://arxiv.org/abs/2305.01165 | GitHub:https://github.com/yuanzhengthu/handDrawnPAAImages,（README未提供，详见论文）
图像修复/补全,Inpainting,DisC-Diff: Disentangled Conditional Diffusion Model for Multi-Contrast MRI Super-Resolution,"Ye Mao, Lan Jiang, Xi Chen, Chao Li","24th Mar., 2023","arXiv, 2023","条件扩散, 扩散ODE",超分,Paper:https://arxiv.org/abs/2303.13933,（README未提供，详见论文）
图像修复/补全,Inpainting,All-in-One Medical Image Restoration with Latent Diffusion-Enhanced Vector-Quantized Codebook Prior,"Haowei Chen, Zhiwen Yang, Haotian Hou, Hui Zhang, Bingzheng Wei, Gang Zhou, Yan Xu","26th Jul., 2025","arXiv, 2025","潜空间/Latent Diffusion, 扩散ODE",重建/复原驱动,Paper:http://arxiv.org/abs/2507.19874v1,（README未提供，详见论文）
图像修复/补全,Inpainting,Investigating the Feasibility of Patch-based Inference for Generalized Diffusion Priors in Inverse Problems for Medical Images,"Saikat Roy, Mahmoud Mostapha, Radu Miron, Matt Holbrook, Mariappan Nadar","25th Jan., 2025","arXiv, 2025",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2501.15309v2,（README未提供，详见论文）
图像修复/补全,Inpainting,Lightening Anything in Medical Images,"Ben Fei, Yixuan Li, Weidong Yang, Hengjun Gao, Jingyi Xu, Lipeng Ma, Yatian Yang, Pinghong Zhou","1st Jun., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2406.10236 | GitHub:https://github.com/Fayeben/UniMIE,（README未提供，详见论文）
图像修复/补全,Inpainting,LighTDiff: Surgical Endoscopic Image Low-Light Enhancement with T-Diffusion,"Tong Chen, Qingcheng Lyu, Long Bai, Erjian Guo, Huxin Gao, Xiaoxiao Yang, Hongliang Ren, Luping Zhou","17th May, 2024","MICCAI, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2405.10550 | GitHub:https://github.com/DavisMeee/LighTDiff,（README未提供，详见论文）
图像修复/补全,Inpainting,Towards Learning Contrast Kinetics with Multi-Condition Latent Diffusion Models,"Richard Osuala, Daniel Lang, Preeti Verma, Smriti Joshi, Apostolia Tsirikoglou, Grzegorz Skorupko, Kaisar Kushibar, Lidia Garrucho, Walter H. L. Pinaya, Oliver Diaz, Julia Schnabel, Karim Lekadir","20th Mar, 2024","arXiv, 2024","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2403.13890 | GitHub:https://github.com/RichardObi/ccnet,（README未提供，详见论文）
图像修复/补全,Inpainting,Step-Calibrated Diffusion for Biomedical Optical Image Restoration,"Yiwei Lyu, Sung Jik Cha, Cheng Jiang, Asadur Chowdury, Xinhai Hou, Edward Harake, Akhil Kondepudi, Christian Freudiger, Honglak Lee, Todd C. Hollon","20th Mar, 2024","arXiv, 2024",通用/未明确,重建/复原驱动,Paper:https://arxiv.org/abs/2403.13680 | GitHub:https://github.com/MLNeurosurg/restorative_step-calibrated_diffusion,（README未提供，详见论文）
图像修复/补全,Inpainting,LLCaps: Learning to Illuminate Low-Light Capsule Endoscopy with Curved Wavelet Attention and Reverse Diffusion,"Long Bai, Tong Chen, Yanan Wu, An Wang, Mobarakol Islam, Hongliang Ren","5th July, 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2307.02452 | GitHub:https://github.com/longbai1006/LLCaps,（README未提供，详见论文）
编辑,Editing,Interactive Tumor Progression Modeling via Sketch-Based Image Editing,"Gexin Huang, Ruinan Jin, Yucheng Tang, Can Zhao, Tatsuya Harada, Xiaoxiao Li, Gu Lin","10th Mar., 2025","arXiv, 2025",通用/未明确,编辑,Paper:http://arxiv.org/abs/2503.06809v1,（README未提供，详见论文）
编辑,Editing,Latent Drifting in Diffusion Models for Counterfactual Medical Image Synthesis,"Yousef Yeganeh, Azade Farshad, Ioannis Charisiadis, Marta Hasny, Martin Hartenberger, Björn Ommer, Nassir Navab, Ehsan Adeli","30th Dec., 2024","CVPR, 2025","潜空间/Latent Diffusion, 扩散ODE",伪健康/反事实重建以显著化异常,Paper:http://arxiv.org/abs/2412.20651v2 | Project Page:https://latentdrifting.github.io/,（README未提供，详见论文）
编辑,Editing,MedEdit: Counterfactual Diffusion-based Image Editing on Brain MRI,"Malek Ben Alaya, Daniel M. Lang, Benedikt Wiestler, Julia A. Schnabel, Cosmin I. Bercea","21st Jul., 2024","SASHIMI, 2024",通用/未明确,伪健康/反事实重建以显著化异常,Paper:https://arxiv.org/abs/2407.15270,（README未提供，详见论文）
编辑,Editing,PIE: Simulating Disease Progression via Progressive Image Editing,"Kaizhao Liang, Xu Cao, Kuei-Da Liao, Tianren Gao, Wenqian Ye, Zhengyu Chen, Jianguo Cao, Tejas Nama, Jimeng Sun","21st Sep., 2023","arXiv, 2023",通用/未明确,编辑,Paper:https://arxiv.org/abs/2309.11745,（README未提供，详见论文）
对抗攻击/鲁棒性,Adversarial Attacks,Prompt2Perturb (P2P): Text-Guided Diffusion-Based Adversarial Attacks on Breast Ultrasound Images,"Yasamin Medghalchi, Moein Heidari, Clayton Allard, Leonid Sigal, Ilker Hacihaliloglu","13th December, 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2412.09910 | GitHub:https://github.com/yasamin-med/P2P,（README未提供，详见论文）
对抗攻击/鲁棒性,Adversarial Attacks,On enhancing the robustness of Vision Transformers: Defensive Diffusion,"Raza Imam, Muhammad Huzaifa, Mohammed El-Amine Azz","14th May, 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2305.08031 | GitHub:https://github.com/Muhammad-Huzaifaa/Defensive_Diffusion,（README未提供，详见论文）
对抗攻击/鲁棒性,Adversarial Attacks,Fight Fire With Fire: Reversing Skin Adversarial Examples by Multiscale Diffusive and Denoising Aggregation Mechanism,"Yongwei Wang, Yuan Li, Zhiqi Shen","22nd Aug., 2022","arXiv, 2022",通用/未明确,去噪,Paper:https://arxiv.org/abs/2208.10373,（README未提供，详见论文）
公平性,Fairness,AI Alignment in Medical Imaging: Unveiling Hidden Biases Through Counterfactual Analysis,"Haroui Ma, Francesco Quinzan, Theresa Willem, Stefan Bauer","28th Apr., 2025","arXiv, 2025",通用/未明确,伪健康/反事实重建以显著化异常,Paper:http://arxiv.org/abs/2504.19621v1 | GitHub:https://github.com/Neferpitou3871/AI-Alignment-Medical-Imaging,（README未提供，详见论文）
公平性,Fairness,FairDiffusion: Enhancing Equity in Latent Diffusion Models via Fair Bayesian Perturbation,"Yan Luo, Muhammad Osama Khan, Congcong Wen, Muhammad Muneeb Afzal, Titus Fidelis Wuermeling, Min Shi, Yu Tian, Yi Fang, Mengyu Wang","29th Dec., 2024","arXiv, 2024","潜空间/Latent Diffusion, 扩散ODE, 贝叶斯/不确定性",未归纳,Paper:http://arxiv.org/abs/2412.20374v2 | GitHub:https://github.com/Harvard-Ophthalmology-AI-Lab/FairDiffusion,（README未提供，详见论文）
公平性,Fairness,FairDiff: Fair Segmentation with Point-Image Diffusion,"Wenyi Li, Haoran Xu, Guiyu Zhang, Huan-ang Gao, Mingju Gao, Mengyu Wang, Hao Zhao","8th Jul., 2024","MICCAI, 2024",通用/未明确,分割,Paper:https://arxiv.org/abs/2407.06250 | GitHub:https://github.com/wenyi-li/FairDiff,（README未提供，详见论文）
公平性,Fairness,From Majority to Minority: A Diffusion-based Augmentation for Underrepresented Groups in Skin Lesion Analysis,"Janet Wang, Yunsung Chung, Zhengming Ding, Jihun Hamm","26th Jun., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2406.18375,（README未提供，详见论文）
公平性,Fairness,Fair Text to Medical Image Diffusion Model with Subgroup Distribution Aligned Tuning,"Xu Han, Fangfang Fan, Jingzhao Rong, Xiaofeng Liu","20th Jun., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2406.14847,（README未提供，详见论文）
公平性,Fairness,Debiasing Cardiac Imaging with Controlled Latent Diffusion Models,"Grzegorz Skorupko, Richard Osuala, Zuzanna Szafranowska, Kaisar Kushibar, Nay Aung, Steffen E Petersen, Karim Lekadir, Polyxeni Gkontra","28th Mar., 2024","arXiv, 2024","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2403.19508 | Github:https://github.com/faildeny/debiasing-cardiac-mri,（README未提供，详见论文）
公平性,Fairness,MCRAGE: Synthetic Healthcare Data for Fairness,"Keira Behal, Jiayi Chen, Caleb Fikes, Sophia Xiao","27th Oct., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2310.18430,（README未提供，详见论文）
公平性,Fairness,"FEDD -- Fair, Efficient, and Diverse Diffusion-based Lesion Segmentation and Malignancy Classification","Héctor Carrión, Narges Norouzi","21st Jul., 2023","MICCAI, 2023",通用/未明确,分割,Paper:https://arxiv.org/abs/2307.11654 | Github:https://github.com/hectorcarrion/fedd,（README未提供，详见论文）
时间序列,Time Series,Diffusion-driven SpatioTemporal Graph KANsformer for Medical Examination Recommendation,"Jianan Li, Yangtao Zhou, Zhifu Zhao, Qinglan Huang, Jian Qi, Xiao He, Hua Chu, Fu Li","12th May, 2025","arXiv, 2025",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2505.07431v1,（README未提供，详见论文）
时间序列,Time Series,Improving EEG Classification Through Randomly Reassembling Original and Generated Data with Transformer-based Diffusion Models,"Mingzhi Chen, Yiyu Gui, Yuqi Su, Yuesheng Zhu, Guibo Luo, Yuchao Yang","20th Jul., 2024","arXiv, 2024",扩散ODE,分类,Paper:https://arxiv.org/abs/2407.20253,（README未提供，详见论文）
时间序列,Time Series,NODER: Image Sequence Regression Based on Neural Ordinary Differential Equations,"Hao Bai, Yi Hong","18th Jul., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2407.13241v1 | GitHub:https://github.com/ZedKing12138/NODER-pytorch,（README未提供，详见论文）
时间序列,Time Series,SSSD-ECG-nle: New Label Embeddings with Structured State-Space Models for ECG generation,"Sergey Skorik, Aram Avetisyan","15th Jul., 2024","IEEE IVMEM Workshop, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2407.11108 | GitHub:https://github.com/ispras/EcgLib,（README未提供，详见论文）
时间序列,Time Series,Stochastic Diffusion: A Diffusion Probabilistic Model for Stochastic Time Series Forecasting,"Yuansan Liu, Sudanthi Wijewickrema, Dongting Hu, Christofer Bester, Stephen O'Leary, James Bailey","4th Jun., 2024","arXiv, 2024","DDPM类, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2406.02827,（README未提供，详见论文）
